sales_region_code,item_code,first_cate_code,second_cate_code,sales_region_code_y,first_cate_code_y,second_cate_code_y,_merge
101,20160,303,410,,,,left_only
101,20175,304,409,,,,left_only
101,20218,302,408,,,,left_only
101,20240,306,407,,,,left_only
101,20344,308,404,,,,left_only
101,20439,302,408,,,,left_only
101,20575,308,404,,,,left_only
101,20624,302,408,,,,left_only
101,20668,304,409,,,,left_only
101,20672,302,408,,,,left_only
101,20687,307,403,,,,left_only
101,20876,304,409,,,,left_only
101,20934,305,412,,,,left_only
101,20957,305,412,,,,left_only
101,21127,302,408,,,,left_only
101,21320,306,407,,,,left_only
101,21340,304,409,,,,left_only
101,21358,306,407,,,,left_only
101,21376,308,404,,,,left_only
101,21410,306,407,,,,left_only
101,21433,304,409,,,,left_only
101,21465,302,408,,,,left_only
101,21596,302,408,,,,left_only
101,21612,304,409,,,,left_only
101,21614,306,407,,,,left_only
101,21698,308,404,,,,left_only
101,21737,307,403,,,,left_only
101,21794,306,407,,,,left_only
101,21967,302,408,,,,left_only
102,20044,308,404,,,,left_only
102,20074,308,404,,,,left_only
102,20160,303,410,,,,left_only
102,20175,304,409,,,,left_only
102,20222,302,408,,,,left_only
102,20231,305,412,,,,left_only
102,20240,306,407,,,,left_only
102,20267,303,401,,,,left_only
102,20512,308,404,,,,left_only
102,20554,305,412,,,,left_only
102,20627,307,403,,,,left_only
102,20687,307,403,,,,left_only
102,20699,306,407,,,,left_only
102,20737,308,404,,,,left_only
102,21115,307,403,,,,left_only
102,21320,306,407,,,,left_only
102,21432,308,404,,,,left_only
102,21612,304,409,,,,left_only
102,21614,306,407,,,,left_only
102,21691,301,405,,,,left_only
102,21737,307,403,,,,left_only
102,22005,308,404,,,,left_only
102,22013,303,401,,,,left_only
103,20039,305,412,,,,left_only
103,20099,302,408,,,,left_only
103,20156,305,412,,,,left_only
103,20161,302,408,,,,left_only
103,20169,308,404,,,,left_only
103,20222,302,408,,,,left_only
103,20231,305,412,,,,left_only
103,20240,306,407,,,,left_only
103,20344,308,404,,,,left_only
103,20352,305,412,,,,left_only
103,20355,303,401,,,,left_only
103,20447,304,409,,,,left_only
103,20575,308,404,,,,left_only
103,20581,305,412,,,,left_only
103,20627,307,403,,,,left_only
103,20660,308,404,,,,left_only
103,20699,306,407,,,,left_only
103,20737,308,404,,,,left_only
103,20934,305,412,,,,left_only
103,20997,305,412,,,,left_only
103,21046,302,408,,,,left_only
103,21105,308,404,,,,left_only
103,21110,307,403,,,,left_only
103,21115,307,403,,,,left_only
103,21174,305,412,,,,left_only
103,21180,303,401,,,,left_only
103,21211,303,401,,,,left_only
103,21320,306,407,,,,left_only
103,21340,304,409,,,,left_only
103,21433,304,409,,,,left_only
103,21444,307,403,,,,left_only
103,21478,302,408,,,,left_only
103,21532,304,409,,,,left_only
103,21639,308,404,,,,left_only
103,21698,308,404,,,,left_only
103,21721,302,408,,,,left_only
103,21892,303,410,,,,left_only
103,21923,307,403,,,,left_only
103,22071,303,410,,,,left_only
105,20160,303,410,,,,left_only
105,20247,306,407,,,,left_only
105,20377,303,410,,,,left_only
105,20913,306,407,,,,left_only
105,21062,302,408,,,,left_only
105,21090,302,408,,,,left_only
105,21110,307,403,,,,left_only
105,21376,308,404,,,,left_only
105,21420,307,403,,,,left_only
105,21875,302,408,,,,left_only
105,21892,303,410,,,,left_only
105,21895,308,404,,,,left_only
105,21964,303,410,,,,left_only
