sales_region_code,item_code,first_cate_code,second_cate_code,prediction_1_month,prediction_2_month,prediction_3_month
101,20002,303,406,697.6078892,703.3689022,700.4883957
101,20003,301,405,4458.957077,4459.604935,4459.281006
101,20006,307,403,647.1437931,646.7833614,646.9635773
101,20011,303,401,1457.907795,1457.818371,1457.863083
101,20014,307,403,5260.031174,5249.502213,5254.766693
101,20016,303,401,1245.15966,1244.403633,1244.781647
101,20018,306,407,902.881134,902.5271149,902.7041245
101,20020,305,412,166.2404447,166.2271304,166.2337875
101,20021,305,412,205.3459449,205.3557019,205.3508234
101,20024,306,402,402.4374027,402.4653988,402.4514008
101,20039,305,412,5121.720078,5178.651932,5150.186005
101,20041,302,408,6732.420303,6672.896774,6702.658539
101,20046,303,401,414.9570827,416.2281055,415.5925941
101,20049,302,408,517.1512012,517.2975368,517.224369
101,20055,304,409,404.1775618,404.3419733,404.2597675
101,20058,303,401,5678.195724,5678.173904,5678.184814
101,20076,303,401,270.4783936,270.3573112,270.4178524
101,20085,301,405,820.360714,818.9551964,819.6579552
101,20086,303,401,465.4030924,465.3261251,465.3646088
101,20088,308,404,3614.386002,3616.355118,3615.37056
101,20089,307,403,800.2254353,797.2659817,798.7457085
101,20091,308,404,1158.696228,1160.038818,1159.367523
101,20093,306,407,49779.35486,49913.07678,49846.21582
101,20107,306,407,1059.669525,1059.207047,1059.438286
101,20111,306,407,1468.87241,1468.014111,1468.44326
101,20113,308,404,5706.144485,5716.116562,5711.130524
101,20114,306,407,3665.432236,3665.149429,3665.290833
101,20118,305,412,94.83658838,95.26864481,95.0526166
101,20119,305,412,924.509655,930.1662102,927.3379326
101,20121,306,407,246.97258,247.4229431,247.1977615
101,20127,307,403,841.9744339,841.9624481,841.968441
101,20131,306,407,430.4259157,430.4071379,430.4165268
101,20134,305,412,212.4606824,212.6229262,212.5418043
101,20135,303,401,380.4013119,380.2946796,380.3479958
101,20139,306,407,370.7866192,372.1397877,371.4632034
101,20140,305,412,940.4451389,935.324934,937.8850365
101,20142,306,407,0,0,0
101,20145,306,407,150.6148314,151.4958024,151.0553169
101,20146,306,402,985.2063179,985.424633,985.3154755
101,20150,304,409,0,0,0
101,20151,305,412,905.2247944,905.3661404,905.2954674
101,20152,305,412,3004.002708,2998.243538,3001.123123
101,20156,305,412,784.69454,783.9200001,784.3072701
101,20157,303,401,3193.526436,3192.814201,3193.170319
101,20160,303,410,0,0,0
101,20162,302,408,265.3739557,264.6434774,265.0087166
101,20163,302,408,150,150,150
101,20164,306,407,399.2717371,400.9461393,400.1089382
101,20165,305,412,3535.964836,3535.72538,3535.845108
101,20169,308,404,376.3191919,377.3303862,376.824789
101,20172,306,407,461.0550795,461.8181696,461.4366245
101,20173,303,401,173.8007865,173.8312402,173.8160133
101,20175,304,409,2239.003899,2240.599983,2239.801941
101,20178,307,403,662.9510841,663.4101143,663.1805992
101,20182,303,401,741.8661556,740.6167164,741.241436
101,20187,302,408,1148.776432,1155.743221,1152.259827
101,20191,305,412,3548.195763,3547.93766,3548.066711
101,20192,308,404,6270.181717,6269.808212,6269.994965
101,20193,302,408,466.4180431,468.1027737,467.2604084
101,20195,302,408,728.6513996,727.4870586,728.0692291
101,20198,303,401,1405.817566,1405.797577,1405.807571
101,20206,305,412,535.0623894,534.32024,534.6913147
101,20215,302,408,585.2934895,578.0808392,581.6871643
101,20218,302,408,1290.02467,1291.179249,1290.601959
101,20221,306,407,758.5674953,761.27244,759.9199677
101,20224,307,403,6108.172928,6108.442673,6108.3078
101,20226,303,401,483.9531841,484.3424091,484.1477966
101,20227,308,404,4031.303085,4031.326004,4031.314545
101,20230,306,407,283.4192362,283.4027395,283.4109879
101,20231,305,412,0,0,0
101,20235,303,411,217.4982643,217.5108051,217.5045347
101,20240,306,407,0,0,0
101,20245,303,411,231.6437707,231.6234937,231.6336322
101,20247,306,407,310.500495,310.5895929,310.5450439
101,20248,306,402,799.7556343,808.5076485,804.1316414
101,20251,303,406,157.2956762,157.3959913,157.3458338
101,20252,306,407,2153.762741,2152.265396,2153.014069
101,20253,306,407,7974.144073,7976.063446,7975.10376
101,20254,303,401,1411.254845,1411.327858,1411.291351
101,20256,307,403,360.8201294,359.9673958,360.3937626
101,20259,306,407,163.8977451,167.6757889,165.786767
101,20261,304,409,425.7607145,425.8527498,425.8067322
101,20267,303,401,128.9539599,128.7165475,128.8352537
101,20272,308,404,4347.782562,4347.063934,4347.423248
101,20278,305,412,5143.10556,5122.869171,5132.987366
101,20282,305,412,3528.762405,3554.781143,3541.771774
101,20283,306,407,1637.565598,1635.817505,1636.691551
101,20284,304,409,1117.506321,1117.924435,1117.715378
101,20285,305,412,465.6106367,465.7045755,465.6576061
101,20291,306,407,3712.609207,3712.413681,3712.511444
101,20292,305,412,1778.391834,1778.580669,1778.486252
101,20296,305,412,2252.376999,2253.167435,2252.772217
101,20297,306,407,533.6151543,534.1606102,533.8878822
101,20305,305,412,630.7342949,630.0903664,630.4123306
101,20311,307,403,174.9168341,179.032274,176.9745541
101,20313,305,412,434.9149742,435.5613289,435.2381516
101,20316,301,405,518.7091141,517.8789825,518.2940483
101,20320,306,407,228.7457671,228.4433255,228.5945463
101,20321,302,408,637.6310883,637.9582825,637.7946854
101,20323,305,412,11822.41928,11817.88834,11820.15381
101,20324,303,401,1487.643784,1487.669937,1487.65686
101,20325,308,404,1085.91721,1086.674496,1086.295853
101,20327,302,408,235.7298813,235.6995525,235.7147169
101,20328,306,407,378.7815237,378.3829355,378.5822296
101,20329,308,404,3676.352669,3678.281273,3677.316971
101,20336,303,401,1541.98362,1551.708015,1546.845818
101,20337,302,408,652.9883728,647.1117249,650.0500488
101,20341,308,404,701.444088,699.8001518,700.6221199
101,20342,305,412,143.2148767,143.328588,143.2717323
101,20343,304,409,2712.041611,2714.146133,2713.093872
101,20344,308,404,2948.055389,2946.189301,2947.122345
101,20346,306,407,3207.110321,3205.959137,3206.534729
101,20347,308,404,6178.762268,6162.653442,6170.707855
101,20350,305,412,-353.903944,-351.0535984,-352.4787712
101,20356,308,404,3656.036484,3657.790115,3656.9133
101,20357,301,405,322.5752773,322.5826511,322.5789642
101,20359,305,412,3554.474167,3554.320084,3554.397125
101,20360,303,401,120.702672,120.2575159,120.480094
101,20366,302,408,268.7578268,267.7824526,268.2701397
101,20368,306,407,967.8540268,925.7025681,946.7782974
101,20370,305,412,13713.53198,13713.54688,13713.53943
101,20384,307,403,804.1107464,803.6106586,803.8607025
101,20387,305,412,430.8552208,430.8928452,430.874033
101,20388,305,412,257.6278296,257.6308451,257.6293373
101,20389,302,408,785.9492817,785.7741604,785.861721
101,20391,306,407,1563.728222,1566.545139,1565.136681
101,20394,303,406,218.1797681,218.1586757,218.1692219
101,20396,305,412,1135.009754,1134.845974,1134.927864
101,20397,307,403,4872.342865,4880.049408,4876.196136
101,20399,302,408,201.63761,201.6273513,201.6324806
101,20404,303,401,900.570158,900.1963673,900.3832626
101,20405,302,408,884.0816708,883.8483219,883.9649963
101,20407,305,412,485.1601715,485.844696,485.5024338
101,20413,306,407,0.212094538,-1.416104637,-0.60200505
101,20414,308,404,3235.262154,3235.507957,3235.385056
101,20416,301,405,1606.101578,1606.467392,1606.284485
101,20418,307,403,1105.891434,1105.717758,1105.804596
101,20419,306,407,2081.425354,2079.846008,2080.635681
101,20422,302,408,526.6487541,526.6648827,526.6568184
101,20427,302,408,1682.866505,1676.930935,1679.89872
101,20428,303,401,10064.78461,10039.57513,10052.17987
